path	duration_s	channels	sample_rate	in_playlists
sounds/ambient/ambient_arena/arena_ambient.m4a	86.315	2	48000	ambient_arena
sounds/ambient/ambient_foundry/BASE_bubbles_SPA.m4a	15.372	1	44100	ambient_foundr,ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_AirValve_SPA.m4a	0.859	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_Cans_a_SPA.m4a	5.108	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_Cans_b_SPA.m4a	3.692	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_Conveyor_a_SPA.m4a	7.523	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_Fan_a_SPA.m4a	4.807	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_GlassFootsteps_SPA.m4a	3.111	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_Machine_a_SPA.m4a	5.155	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_Machine_c_SPA.m4a	3.646	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/RANDOM_Foundry_MetalFalling_SPA.m4a	2.368	1	44100	ambient_foundry
sounds/ambient/ambient_foundry/foundry_ambient.m4a	45.070	2	44100	ambient_foundr,ambient_foundry
sounds/ambient/ambient_ghosttown/BASE_City_Fire_SPA.m4a	20.062	1	44100	ambient_ghosttown
sounds/ambient/ambient_ghosttown/RANDOM_City_DistantExplosion_SPA.m4a	4.783	1	44100	ambient_ghosttown
sounds/ambient/ambient_ghosttown/RANDOM_City_Dogs_a_SPA.m4a	6.316	1	44100	ambient_ghosttown
sounds/ambient/ambient_ghosttown/RANDOM_City_SewerWater_b_SPA.m4a	7.570	1	44100	ambient_ghosttown
sounds/ambient/ambient_ghosttown/RANDOM_City_Siren_SPA.m4a	11.564	1	44100	ambient_ghosttown
sounds/ambient/ambient_ghosttown/ghosttown_ambient.m4a	45.227	2	48000	ambient_ghosttown
sounds/ambient/ambient_roman/BASE_amphitheatre_pyre_SPA.m4a	20.062	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_crumbling_a_SPA.m4a	4.923	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_crumbling_b_SPA.m4a	4.667	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_crumbling_c_SPA.m4a	4.040	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_dustydebris_a_SPA.m4a	5.457	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_dustydebris_b_SPA.m4a	5.457	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_dustydebris_d_SPA.m4a	4.551	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_flag_SPA.m4a	3.553	1	44100	ambient_roman
sounds/ambient/ambient_roman/RANDOM_amphitheatre_gust_SPA.m4a	6.339	1	44100	ambient_roman
