address	size	kind	unit	name
0x100005830	132	objc	ADMotionManager	+[ADMotionManager sharedInstance]
0x1000058b4	108	block	ADMotionManager	+[ADMotionManager sharedInstance]_block_invoke
0x100005920	4	sub	ADMotionManager	sub_100005920
0x100005924	4	sub	ADMotionManager	sub_100005924
0x100005928	36	objc	ADMotionManager	+[ADMotionManager allocWithZone:]
0x10000594c	4	objc	ADMotionManager	-[ADMotionManager copyWithZone:]
0x100005950	176	objc	ADMotionManager	-[ADMotionManager startMotionManager]
0x100005a00	144	objc	ADMotionManager	-[ADMotionManager getCurrentAcceleration]
0x100005a90	120	objc	ADMotionManager	-[ADMotionManager getCurrentAttitude]
0x100005b08	12	objc	ADMotionManager	-[ADMotionManager getStartingAttitude]
0x100005b14	44	objc	ADMotionManager	-[ADMotionManager getInterval]
0x100005b40	120	objc	ADMotionManager	-[ADMotionManager getStamp]
0x100005bb8	136	objc	ADMotionManager	-[ADMotionManager setStartingAttitude:]
0x100005c40	24	objc	ADMotionManager	-[ADMotionManager isDeviceReady]
0x100005c58	68	objc	ADMotionManager	-[ADMotionManager destroyMotionManager]
0x100005c9c	336	objc	ADMotionManager	-[ADMotionManager getYawDifference]
0x100005dec	356	objc	ADMotionManager	-[ADMotionManager getTiltAngle]
0x100005f50	16	objc	ADMotionManager	-[ADMotionManager lastGyroAngle]
0x100005f60	16	objc	ADMotionManager	-[ADMotionManager setLastGyroAngle:]
0x100005f70	16	objc	ADMotionManager	-[ADMotionManager lastTiltAngle]
0x100005f80	16	objc	ADMotionManager	-[ADMotionManager setLastTiltAngle:]
0x100005f90	20	objc	ADMotionManager	-[ADMotionManager .cxx_destruct]
0x100005fa4	140	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController initWithNibName:bundle:]
0x100006030	1876	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController viewDidLoad]
0x100006784	28	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController loadView]
0x1000067a0	60	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController didReceiveMemoryWarning]
0x1000067dc	140	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController tiltControl:]
0x100006868	140	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController gyroControl:]
0x1000068f4	140	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController buttonControl:]
0x100006980	160	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController goToMainMenu]
0x100006a20	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController swipeDescription]
0x100006a30	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setSwipeDescription:]
0x100006a68	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController tiltDescription]
0x100006a78	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setTiltDescription:]
0x100006ab0	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController gyroDescription]
0x100006ac0	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setGyroDescription:]
0x100006af8	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController descriptionText]
0x100006b08	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setDescriptionText:]
0x100006b40	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController gyroButton]
0x100006b50	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setGyroButton:]
0x100006b88	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController gyroTextButton]
0x100006b98	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setGyroTextButton:]
0x100006bd0	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController tiltButton]
0x100006be0	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setTiltButton:]
0x100006c18	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController tiltTextButton]
0x100006c28	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setTiltTextButton:]
0x100006c60	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController swipeButton]
0x100006c70	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setSwipeButton:]
0x100006ca8	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController swipeTextButton]
0x100006cb8	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setSwipeTextButton:]
0x100006cf0	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController titleLabel]
0x100006d00	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setTitleLabel:]
0x100006d38	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController subTitleLabel]
0x100006d48	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setSubTitleLabel:]
0x100006d80	16	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController recommededLabel]
0x100006d90	56	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController setRecommededLabel:]
0x100006dc8	284	objc	ADInitialControlSchemeViewController	-[ADInitialControlSchemeViewController .cxx_destruct]
0x100006ee4	12	objc	UIGestureRecognizer+OBDragDrop	-[UIGestureRecognizer(OBDragDrop) ovum]
0x100006ef0	32	objc	UIGestureRecognizer+OBDragDrop	-[UIGestureRecognizer(OBDragDrop) setOvum:]
0x100006f10	12	objc	UIGestureRecognizer+OBDragDrop	-[UIGestureRecognizer(OBDragDrop) ovumSource]
0x100006f1c	32	objc	UIGestureRecognizer+OBDragDrop	-[UIGestureRecognizer(OBDragDrop) setOvumSource:]
0x100006f3c	4	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch awakeFromNib]
0x100006f40	648	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch populateWithSubtitleString:Values:]
0x1000071c8	60	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch setSelected:animated:]
0x100007204	16	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch killsLabel]
0x100007214	56	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch setKillsLabel:]
0x10000724c	16	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch accuracyLabel]
0x10000725c	56	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch setAccuracyLabel:]
0x100007294	16	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch killsValueLabel]
0x1000072a4	56	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch setKillsValueLabel:]
0x1000072dc	16	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch accuracyValueLabel]
0x1000072ec	56	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch setAccuracyValueLabel:]
0x100007324	16	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch subTitleLabel]
0x100007334	56	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch setSubTitleLabel:]
0x10000736c	20	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch isEnemyCell]
0x100007380	16	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch setIsEnemyCell:]
0x100007390	124	objc	ADMultiCell_iPodTouch	-[ADMultiCell_iPodTouch .cxx_destruct]
0x10000740c	180	objc	ADMeleeWeapon	-[ADMeleeWeapon update:]
0x1000074c0	120	objc	ADMeleeWeapon	-[ADMeleeWeapon singleShot]
0x100007538	216	objc	ADMeleeWeapon	-[ADMeleeWeapon playHitSound]
0x100007610	216	objc	ADMeleeWeapon	-[ADMeleeWeapon playMissSound]
0x1000076e8	556	objc	ADButtonWithFont+ImageWithTitle	-[ADButtonWithFont(ImageWithTitle) centerButtonTextWithCoinsImage]
0x100007914	556	objc	ADButtonWithFont+ImageWithTitle	-[ADButtonWithFont(ImageWithTitle) centerButtonTextWithDiamondsImage]
0x100007b40	76	objc	ADButtonWithFont+ImageWithTitle	-[ADButtonWithFont(ImageWithTitle) centerButtonWithoutImage]
0x100007b8c	340	objc	ADButtonWithFont+ImageWithTitle	-[ADButtonWithFont(ImageWithTitle) setFontByDeviceType]
0x100007ce0	104	objc	ADButtonWithFont+ImageWithTitle	-[ADButtonWithFont(ImageWithTitle) setEdgeInsetsWithSpacingTextSpacing:WithImageSpacing:]
0x100007d48	68	objc	ADButtonWithFont+ImageWithTitle	+[ADButtonWithFont(ImageWithTitle) sharedDiamondImage]
0x100007d8c	152	block	ADButtonWithFont+ImageWithTitle	+[ADButtonWithFont(ImageWithTitle) sharedDiamondImage]_block_invoke
0x100007e24	168	objc	ADButtonWithFont+ImageWithTitle	+[ADButtonWithFont(ImageWithTitle) cropDiamondsImage:]
0x100007ecc	32	objc	ADButtonWithFont+ImageWithTitle	+[ADButtonWithFont(ImageWithTitle) sharedCoinsImage]
0x100007eec	172	objc	ADMissionManager	+[ADMissionManager sharedMissionManager]
0x100007f98	268	objc	ADMissionManager	-[ADMissionManager missionArray]
0x1000080a4	480	objc	ADMissionManager	-[ADMissionManager activeMissionsInit]
0x100008284	216	objc	ADMissionManager	-[ADMissionManager initOrRestore]
0x10000835c	308	objc	ADMissionManager	-[ADMissionManager saveMissionProgress]
0x100008490	284	objc	ADMissionManager	-[ADMissionManager loadMissionProgress]
0x1000085ac	108	objc	ADMissionManager	-[ADMissionManager update:]
0x100008618	404	objc	ADMissionManager	-[ADMissionManager missionsCompleted]
0x1000087ac	288	objc	ADMissionManager	-[ADMissionManager replaceMission:]
0x1000088cc	340	objc	ADMissionManager	-[ADMissionManager getNextMission]
0x100008a20	496	objc	ADMissionManager	-[ADMissionManager enemiKilled:withWeapon:]
0x100008c10	224	objc	ADMissionManager	-[ADMissionManager upgradeWeaponToLevel:]
0x100008cf0	224	objc	ADMissionManager	-[ADMissionManager startGameplay]
0x100008dd0	256	objc	ADMissionManager	-[ADMissionManager endGameplay]
0x100008ed0	224	objc	ADMissionManager	-[ADMissionManager playerSwappedWeapon]
0x100008fb0	224	objc	ADMissionManager	-[ADMissionManager playerMissedAShot]
0x100009090	468	objc	ADMissionManager	-[ADMissionManager playerShotWithWeapon:hitEnemi:]
0x100009264	104	objc	ADMissionManager	-[ADMissionManager playerDied]
0x1000092cc	56	objc	ADMissionManager	-[ADMissionManager setMissionArray:]
0x100009304	16	objc	ADMissionManager	-[ADMissionManager activeMissions]
0x100009314	56	objc	ADMissionManager	-[ADMissionManager setActiveMissions:]
0x10000934c	64	objc	ADMissionManager	-[ADMissionManager .cxx_destruct]
0x10000938c	408	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController initWithNibName:bundle:]
0x100009524	408	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController viewDidLoad]
0x1000096bc	536	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController loadView]
0x1000098d4	968	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController initInventoryView]
0x100009c9c	484	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController initWeaponScroller]
0x100009e80	8	objc	ADArmoryLoadoutViewController	-[ADArmoryLoadoutViewController ovumEntered:inView:atLocation:]
